"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","52228","test","webkit","Wed Jul 23 17:12:33 EET 2025","failed","Wed Jul 23 17:13:25 EET 2025","","test-1.spec.ts","",""
"","7950","login to the petstore with valid @dataDriven","chromium","Wed Jul 23 12:49:49 EET 2025","passed","Wed Jul 23 12:49:57 EET 2025","@smoke Petstore Login Tests with CSV data","LoginPetstoreWithCSVData.spec.ts","",""
"","1337","navigate to store","webkit","Wed Jul 23 17:26:40 EET 2025","failed","Wed Jul 23 17:26:41 EET 2025","@smoke Petstore HomePage Tests","TestWithAFixture.spec.ts","",""
"","6302","@dataDriven login to the petstore with valid","webkit","Wed Jul 23 12:54:07 EET 2025","passed","Wed Jul 23 12:54:13 EET 2025","@smoke Petstore Login Tests with CSV data","LoginPetstoreWithCSVData.spec.ts","",""
"","6031","@dataDriven login to the petstore with Invalid login","firefox","Wed Jul 23 12:54:07 EET 2025","passed","Wed Jul 23 12:54:13 EET 2025","Petstore Login Tests with JSON data","LoginPetstoreWithJSONData.spec.ts","",""
"","30037","login to the petstore with Valid login @dataDriven","firefox","Tue Jul 22 17:17:49 EET 2025","broken","Tue Jul 22 17:18:20 EET 2025","@smoke Petstore Login Tests","LoginPetstoreWithJSONData.spec.ts","",""
"","6664","valid login to the petstore with demoUser","firefox","Wed Jul 23 11:07:22 EET 2025","passed","Wed Jul 23 11:07:29 EET 2025","@smoke Petstore Login Tests","LoginPetstoreWithConfigData.spec.ts","",""
"","5794","login to the petstore with invalid login @dataDriven","firefox","Wed Jul 23 12:49:49 EET 2025","passed","Wed Jul 23 12:49:55 EET 2025","@smoke Petstore Login Tests with CSV data","LoginPetstoreWithCSVData.spec.ts","",""
"","4981","invalid login to the petstore with demoUser","webkit","Wed Jul 23 11:07:32 EET 2025","passed","Wed Jul 23 11:07:37 EET 2025","@smoke Petstore Login Tests","LoginPetstoreWithConfigData.spec.ts","",""
"","30036","login to the petstore with Invalid login @dataDriven","firefox","Tue Jul 22 17:17:50 EET 2025","broken","Tue Jul 22 17:18:20 EET 2025","@smoke Petstore Login Tests","LoginPetstoreWithJSONData.spec.ts","",""
"","6477","login to the petstore with valid @dataDriven","firefox","Wed Jul 23 12:49:49 EET 2025","passed","Wed Jul 23 12:49:55 EET 2025","@smoke Petstore Login Tests with CSV data","LoginPetstoreWithCSVData.spec.ts","",""
"","5347","login to the petstore with Invalid login @dataDriven","chromium","Wed Jul 23 12:51:50 EET 2025","passed","Wed Jul 23 12:51:56 EET 2025","Petstore Login Tests with JSON data","LoginPetstoreWithJSONData.spec.ts","",""
"","5729","login to the petstore with Valid login @dataDriven","chromium","Wed Jul 23 12:51:50 EET 2025","passed","Wed Jul 23 12:51:56 EET 2025","Petstore Login Tests with JSON data","LoginPetstoreWithJSONData.spec.ts","",""
"","5244","@dataDriven login to the petstore with invalid login","chromium","Wed Jul 23 12:54:00 EET 2025","passed","Wed Jul 23 12:54:05 EET 2025","@smoke Petstore Login Tests with CSV data","LoginPetstoreWithCSVData.spec.ts","",""
"","3335","accessibility test for login page","firefox","Thu Jul 24 10:41:11 EET 2025","failed","Thu Jul 24 10:41:15 EET 2025","","LoginPetstoreAccesibility.spec.ts","",""
"","2518","accessibility test for login page","chromium","Thu Jul 24 10:41:11 EET 2025","failed","Thu Jul 24 10:41:14 EET 2025","","LoginPetstoreAccesibility.spec.ts","",""
"","30051","login to the petstore with Valid login @dataDriven","webkit","Tue Jul 22 17:17:49 EET 2025","broken","Tue Jul 22 17:18:20 EET 2025","@smoke Petstore Login Tests","LoginPetstoreWithJSONData.spec.ts","",""
"","8671","valid login to the petstore with demoUser","chromium","Wed Jul 23 11:07:13 EET 2025","passed","Wed Jul 23 11:07:21 EET 2025","@smoke Petstore Login Tests","LoginPetstoreWithConfigData.spec.ts","",""
"","8269","invalid login to the petstore with demoUser","chromium","Wed Jul 23 11:07:13 EET 2025","passed","Wed Jul 23 11:07:21 EET 2025","@smoke Petstore Login Tests","LoginPetstoreWithConfigData.spec.ts","",""
"","4416","invalid login to the petstore with demoUser","chromium","Tue Jul 22 16:29:49 EET 2025","passed","Tue Jul 22 16:29:54 EET 2025","@smoke Petstore Login Tests","LoginPetstore.spec.ts","",""
"","4422","login to the petstore with Invalid login @dataDriven","chromium","Tue Jul 22 17:19:40 EET 2025","passed","Tue Jul 22 17:19:45 EET 2025","@smoke Petstore Login Tests","LoginPetstoreWithJSONData.spec.ts","",""
"","5756","login to the petstore with invalid login @dataDriven","webkit","Wed Jul 23 12:49:49 EET 2025","passed","Wed Jul 23 12:49:55 EET 2025","@smoke Petstore Login Tests with CSV data","LoginPetstoreWithCSVData.spec.ts","",""
"","7019","invalid login to the petstore with demoUser","firefox","Tue Jul 22 16:28:15 EET 2025","passed","Tue Jul 22 16:28:22 EET 2025","@smoke Petstore Login Tests","LoginPetstore.spec.ts","",""
"","3907","navigate to store","firefox","Wed Jul 23 17:26:40 EET 2025","failed","Wed Jul 23 17:26:44 EET 2025","@smoke Petstore HomePage Tests","TestWithAFixture.spec.ts","",""
"","6354","invalid login to the petstore with demoUser","firefox","Wed Jul 23 11:07:22 EET 2025","passed","Wed Jul 23 11:07:29 EET 2025","@smoke Petstore Login Tests","LoginPetstoreWithConfigData.spec.ts","",""
"","49242","test","firefox","Wed Jul 23 17:12:33 EET 2025","failed","Wed Jul 23 17:13:22 EET 2025","","test-1.spec.ts","",""
"","6512","@dataDriven login to the petstore with invalid login","firefox","Wed Jul 23 12:54:00 EET 2025","passed","Wed Jul 23 12:54:07 EET 2025","@smoke Petstore Login Tests with CSV data","LoginPetstoreWithCSVData.spec.ts","",""
"","1754","Visual test for naviagte","chromium","Thu Jul 24 10:15:12 EET 2025","passed","Thu Jul 24 10:15:13 EET 2025","Petstore Visual tests","LoginPetstoreVisualTest.spec.ts","",""
"","7353","valid login to the petstore with demoUser","webkit","Tue Jul 22 16:28:15 EET 2025","passed","Tue Jul 22 16:28:22 EET 2025","@smoke Petstore Login Tests","LoginPetstore.spec.ts","",""
"","5031","valid login to the petstore with demoUser","chromium","Tue Jul 22 16:29:44 EET 2025","passed","Tue Jul 22 16:29:49 EET 2025","@smoke Petstore Login Tests","LoginPetstore.spec.ts","",""
"","2624","Visual tests for Petstore Login","firefox","Wed Jul 23 16:12:22 EET 2025","failed","Wed Jul 23 16:12:24 EET 2025","Petstore Visual tests","LoginPetstoreVisualTest.spec.ts","",""
"","5278","invalid login to the petstore with demoUser","webkit","Tue Jul 22 16:28:15 EET 2025","passed","Tue Jul 22 16:28:20 EET 2025","@smoke Petstore Login Tests","LoginPetstore.spec.ts","",""
"","5679","login to the petstore with Invalid login @dataDriven","webkit","Wed Jul 23 12:51:50 EET 2025","passed","Wed Jul 23 12:51:56 EET 2025","Petstore Login Tests with JSON data","LoginPetstoreWithJSONData.spec.ts","",""
"","4643","Verify sign in","webkit","Wed Jul 23 16:18:13 EET 2025","passed","Wed Jul 23 16:18:18 EET 2025","Petstore Visual tests","LoginPetstoreVisualTest.spec.ts","",""
"","6515","login to the petstore with Invalid login @dataDriven","firefox","Wed Jul 23 12:51:50 EET 2025","passed","Wed Jul 23 12:51:57 EET 2025","Petstore Login Tests with JSON data","LoginPetstoreWithJSONData.spec.ts","",""
"","6312","@dataDriven login to the petstore with Valid login","webkit","Wed Jul 23 12:54:10 EET 2025","passed","Wed Jul 23 12:54:16 EET 2025","Petstore Login Tests with JSON data","LoginPetstoreWithJSONData.spec.ts","",""
"","1478","Visual tests for Petstore Login","chromium","Wed Jul 23 16:12:37 EET 2025","passed","Wed Jul 23 16:12:39 EET 2025","Petstore Visual tests","LoginPetstoreVisualTest.spec.ts","",""
"","2615","accessibility test for login page","webkit","Thu Jul 24 10:41:11 EET 2025","failed","Thu Jul 24 10:41:14 EET 2025","","LoginPetstoreAccesibility.spec.ts","",""
"","5268","@dataDriven login to the petstore with Invalid login","chromium","Wed Jul 23 12:54:00 EET 2025","passed","Wed Jul 23 12:54:06 EET 2025","Petstore Login Tests with JSON data","LoginPetstoreWithJSONData.spec.ts","",""
"","5391","@dataDriven login to the petstore with valid","chromium","Wed Jul 23 12:54:00 EET 2025","passed","Wed Jul 23 12:54:06 EET 2025","@smoke Petstore Login Tests with CSV data","LoginPetstoreWithCSVData.spec.ts","",""
"","7177","login to the petstore with Valid login @dataDriven","webkit","Wed Jul 23 12:51:50 EET 2025","passed","Wed Jul 23 12:51:57 EET 2025","Petstore Login Tests with JSON data","LoginPetstoreWithJSONData.spec.ts","",""
"","850","login to petstore API","chromium","Thu Jul 24 10:18:20 EET 2025","passed","Thu Jul 24 10:18:21 EET 2025","","LoginPetstoreAPI.spec.ts","",""
"","5392","Verify sign in","firefox","Wed Jul 23 16:18:13 EET 2025","passed","Wed Jul 23 16:18:19 EET 2025","Petstore Visual tests","LoginPetstoreVisualTest.spec.ts","",""
"","6815","valid login to the petstore with demoUser","firefox","Tue Jul 22 16:28:15 EET 2025","passed","Tue Jul 22 16:28:21 EET 2025","@smoke Petstore Login Tests","LoginPetstore.spec.ts","",""
"","6385","@dataDriven login to the petstore with valid","firefox","Wed Jul 23 12:54:00 EET 2025","passed","Wed Jul 23 12:54:07 EET 2025","@smoke Petstore Login Tests with CSV data","LoginPetstoreWithCSVData.spec.ts","",""
"","6296","login to the petstore with Valid login @dataDriven","firefox","Wed Jul 23 12:51:50 EET 2025","passed","Wed Jul 23 12:51:57 EET 2025","Petstore Login Tests with JSON data","LoginPetstoreWithJSONData.spec.ts","",""
"","5173","Verify sign in","chromium","Thu Jul 24 10:15:14 EET 2025","passed","Thu Jul 24 10:15:19 EET 2025","Petstore Visual tests","LoginPetstoreVisualTest.spec.ts","",""
"","2565","Visual test for naviagte","firefox","Wed Jul 23 16:18:13 EET 2025","passed","Wed Jul 23 16:18:16 EET 2025","Petstore Visual tests","LoginPetstoreVisualTest.spec.ts","",""
"","6942","@dataDriven login to the petstore with Valid login","firefox","Wed Jul 23 12:54:07 EET 2025","passed","Wed Jul 23 12:54:14 EET 2025","Petstore Login Tests with JSON data","LoginPetstoreWithJSONData.spec.ts","",""
"","7124","login to the petstore with valid @dataDriven","webkit","Wed Jul 23 12:49:49 EET 2025","passed","Wed Jul 23 12:49:56 EET 2025","@smoke Petstore Login Tests with CSV data","LoginPetstoreWithCSVData.spec.ts","",""
"","4567","test","chromium","Wed Jul 23 17:13:30 EET 2025","passed","Wed Jul 23 17:13:34 EET 2025","","test-1.spec.ts","",""
"","5227","@dataDriven login to the petstore with Valid login","chromium","Wed Jul 23 12:54:00 EET 2025","passed","Wed Jul 23 12:54:05 EET 2025","Petstore Login Tests with JSON data","LoginPetstoreWithJSONData.spec.ts","",""
"","5227","login to the petstore with Valid login @dataDriven","chromium","Tue Jul 22 17:19:35 EET 2025","passed","Tue Jul 22 17:19:40 EET 2025","@smoke Petstore Login Tests","LoginPetstoreWithJSONData.spec.ts","",""
"","1509","Visual test for naviagte","webkit","Wed Jul 23 16:18:13 EET 2025","passed","Wed Jul 23 16:18:15 EET 2025","Petstore Visual tests","LoginPetstoreVisualTest.spec.ts","",""
"","5348","@dataDriven login to the petstore with invalid login","webkit","Wed Jul 23 12:54:07 EET 2025","passed","Wed Jul 23 12:54:12 EET 2025","@smoke Petstore Login Tests with CSV data","LoginPetstoreWithCSVData.spec.ts","",""
"","6354","valid login to the petstore with demoUser","webkit","Wed Jul 23 11:07:32 EET 2025","passed","Wed Jul 23 11:07:38 EET 2025","@smoke Petstore Login Tests","LoginPetstoreWithConfigData.spec.ts","",""
"","5343","@dataDriven login to the petstore with Invalid login","webkit","Wed Jul 23 12:54:10 EET 2025","passed","Wed Jul 23 12:54:16 EET 2025","Petstore Login Tests with JSON data","LoginPetstoreWithJSONData.spec.ts","",""
"","1700","Visual tests for Petstore Login","webkit","Wed Jul 23 16:12:22 EET 2025","failed","Wed Jul 23 16:12:23 EET 2025","Petstore Visual tests","LoginPetstoreVisualTest.spec.ts","",""
"","850","login to petstore API","webkit","Wed Jul 23 16:45:37 EET 2025","passed","Wed Jul 23 16:45:38 EET 2025","","LoginPetstoreAPI.spec.ts","",""
"","30066","login to the petstore with Invalid login @dataDriven","webkit","Tue Jul 22 17:17:49 EET 2025","broken","Tue Jul 22 17:18:20 EET 2025","@smoke Petstore Login Tests","LoginPetstoreWithJSONData.spec.ts","",""
"","9245","login to the petstore with invalid login @dataDriven","chromium","Wed Jul 23 12:49:49 EET 2025","passed","Wed Jul 23 12:49:58 EET 2025","@smoke Petstore Login Tests with CSV data","LoginPetstoreWithCSVData.spec.ts","",""
"","6245","navigate to store","chromium","Wed Jul 23 17:28:11 EET 2025","passed","Wed Jul 23 17:28:17 EET 2025","@smoke Petstore HomePage Tests","TestWithAFixture.spec.ts","",""
"","880","login to petstore API","firefox","Wed Jul 23 16:45:37 EET 2025","passed","Wed Jul 23 16:45:38 EET 2025","","LoginPetstoreAPI.spec.ts","",""
